Date,Open,High,Low,Close,Adj Close,Volume
2008-09-15,142.279999,151.399994,130.429993,135.500000,119.027763,54
2008-09-16,118.000000,135.289993,116.129997,133.009995,116.840439,480
2008-09-17,120.800003,126.599998,97.779999,114.500000,100.580643,1100
2008-09-18,106.000000,120.000000,86.309998,108.000000,94.870819,1100
2008-09-19,142.509995,144.979996,116.000000,129.800003,114.020676,400
2008-09-22,132.779999,135.639999,120.430000,120.779999,106.097206,200
2008-09-23,118.889999,125.949997,113.010002,125.050003,109.848122,200
2008-09-24,128.440002,133.699997,126.019997,133.000000,116.831657,460
2008-09-25,134.250000,137.990005,128.759995,135.500000,119.027763,190
2008-09-26,132.490005,137.990005,129.509995,137.990005,121.215073,100
2008-09-29,134.490005,134.619995,105.000000,120.699997,106.026917,20
2008-09-30,126.889999,130.000000,124.500000,145.000000,145.439491,130
2008-10-01,127.320000,135.350006,124.989998,134.500000,118.149307,130
2008-10-02,132.169998,133.210007,128.050003,131.539993,115.549156,100
2008-10-03,132.839996,142.000000,126.940002,128.000000,112.439491,160
2008-10-06,122.099998,127.169998,115.000000,124.000000,108.925766,210
2008-10-07,127.510002,127.510002,112.019997,115.000000,101.019882,70
2008-10-08,110.000000,121.000000,107.550003,113.000000,99.262985,180
